ï»¿Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,SP,ARARAQUARA,PRISMA AUTO POSTO LTDA, 06.111.337/0001-52,AVENIDA FRANCISCO CARLOS MERLOS,2400,,1DISTRITO INDUSTRIAL,14808-010,GASOLINA,03/08/2026,"6,05",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,PRISMA AUTO POSTO LTDA, 06.111.337/0001-52,AVENIDA FRANCISCO CARLOS MERLOS,2400,,1DISTRITO INDUSTRIAL,14808-010,GASOLINA ADITIVADA,03/08/2026,"6,14",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,PRISMA AUTO POSTO LTDA, 06.111.337/0001-52,AVENIDA FRANCISCO CARLOS MERLOS,2400,,1DISTRITO INDUSTRIAL,14808-010,ETANOL,03/08/2026,"3,21",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,CAMPOS & FERNANDEZ LTDA, 03.776.999/0001-53,RUA MAURICIO GALLI,4245,,JD.ROBERTO SELMI DEI,14806-245,GASOLINA,03/08/2026,"6,15",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,CAMPOS & FERNANDEZ LTDA, 03.776.999/0001-53,RUA MAURICIO GALLI,4245,,JD.ROBERTO SELMI DEI,14806-245,ETANOL,03/08/2026,"3,25",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,AUTO POSTO PODIUM LTDA, 02.975.066/0001-22,AVENIDA MANUEL DE ABREU,4205,,CHACARA VELOSA,14806-545,GASOLINA,03/08/2026,"5,85",,R$ / litro,BRANCA
SE,SP,ARARAQUARA,AUTO POSTO PODIUM LTDA, 02.975.066/0001-22,AVENIDA MANUEL DE ABREU,4205,,CHACARA VELOSA,14806-545,ETANOL,03/08/2026,"2,97",,R$ / litro,BRANCA
SE,SP,ATIBAIA,AZUL TIRRENO POSTO DE SERVIÃOS LTDA, 02.123.569/0001-70,AVENIDA JOVIANO ALVIM,210,,ALVINÃPOLIS,12940-000,GASOLINA,03/08/2026,"6,99",,R$ / litro,IPIRANGA
SE,SP,ATIBAIA,AZUL TIRRENO POSTO DE SERVIÃOS LTDA, 02.123.569/0001-70,AVENIDA JOVIANO ALVIM,210,,ALVINÃPOLIS,12940-000,GASOLINA ADITIVADA,03/08/2026,"7,29",,R$ / litro,IPIRANGA
SE,SP,ATIBAIA,AZUL TIRRENO POSTO DE SERVIÃOS LTDA, 02.123.569/0001-70,AVENIDA JOVIANO ALVIM,210,,ALVINÃPOLIS,12940-000,ETANOL,03/08/2026,"4,89",,R$ / litro,IPIRANGA
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA, 02.413.786/0001-02,AVENIDA PROFESSOR CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12942-530,GASOLINA,03/08/2026,"6,99",,R$ / litro,RAIZEN
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA, 02.413.786/0001-02,AVENIDA PROFESSOR CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12942-530,GASOLINA ADITIVADA,03/08/2026,"6,99",,R$ / litro,RAIZEN
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA, 02.413.786/0001-02,AVENIDA PROFESSOR CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12942-530,ETANOL,03/08/2026,"4,49",,R$ / litro,RAIZEN
SE,SP,ATIBAIA,AUTO POSTO PARADA DA PEDRA LTDA, 02.179.400/0001-31,RUA WALDOMIRO F. DA SILVEIRA,638,,RECREIO ESTORIL,12953-162,GASOLINA,03/08/2026,"6,49",,R$ / litro,BRANCA
SE,SP,ATIBAIA,AUTO POSTO PARADA DA PEDRA LTDA, 02.179.400/0001-31,RUA WALDOMIRO F. DA SILVEIRA,638,,RECREIO ESTORIL,12953-162,GASOLINA ADITIVADA,03/08/2026,"6,59",,R$ / litro,BRANCA
SE,SP,ATIBAIA,AUTO POSTO PARADA DA PEDRA LTDA, 02.179.400/0001-31,RUA WALDOMIRO F. DA SILVEIRA,638,,RECREIO ESTORIL,12953-162,ETANOL,03/08/2026,"4,19",,R$ / litro,BRANCA
SE,SP,ATIBAIA,ARAUJO AUTO POSTO E SERVICOS LTDA, 01.637.558/0001-45,AVENIDA PROFESSOR FLAVIO PIRES DE CAMARGO,1025,,CAETETUBA,12951-750,GASOLINA ADITIVADA,03/08/2026,"6,59",,R$ / litro,BRANCA
SE,SP,ATIBAIA,ARAUJO AUTO POSTO E SERVICOS LTDA, 01.637.558/0001-45,AVENIDA PROFESSOR FLAVIO PIRES DE CAMARGO,1025,,CAETETUBA,12951-750,ETANOL,03/08/2026,"3,99",,R$ / litro,BRANCA
SE,SP,BAURU,MECCA & GUERIN LTDA, 01.706.287/0001-32,RUA SAO SEBASTIAO,23-40,,JARDIM DA GRAMA,17065-007,GASOLINA,03/08/2026,"5,99",,R$ / litro,BRANCA
SE,SP,BAURU,MECCA & GUERIN LTDA, 01.706.287/0001-32,RUA SAO SEBASTIAO,23-40,,JARDIM DA GRAMA,17065-007,GASOLINA ADITIVADA,03/08/2026,"6,09",,R$ / litro,BRANCA
SE,SP,BAURU,MECCA & GUERIN LTDA, 01.706.287/0001-32,RUA SAO SEBASTIAO,23-40,,JARDIM DA GRAMA,17065-007,ETANOL,03/08/2026,"3,19",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO G.F LTDA. ME, 00.234.580/0001-81,RUA CUSSY JUNIOR,46057,,CENTRO,17015-020,GASOLINA,03/08/2026,"5,84",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO G.F LTDA. ME, 00.234.580/0001-81,RUA CUSSY JUNIOR,46057,,CENTRO,17015-020,ETANOL,03/08/2026,"2,96",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO AEROPORTO BAURU LTDA, 03.387.098/0001-70,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA QUADRA,23-25,,VILA NOVA CIDADE UNIVERSITARIA,17012-191,GASOLINA,03/08/2026,"6,39",,R$ / litro,RAIZEN
SE,SP,BAURU,AUTO POSTO AEROPORTO BAURU LTDA, 03.387.098/0001-70,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA QUADRA,23-25,,VILA NOVA CIDADE UNIVERSITARIA,17012-191,ETANOL,03/08/2026,"3,59",,R$ / litro,RAIZEN
SE,SP,BAURU,AUTO POSTO CHAPADAO BAURU LTDA, 04.235.372/0001-58,RUA CEZAR CRUZ CIAFREI,46137,,JARDIM MENDONCA,17026-812,GASOLINA,03/08/2026,"6,29",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO CHAPADAO BAURU LTDA, 04.235.372/0001-58,RUA CEZAR CRUZ CIAFREI,46137,,JARDIM MENDONCA,17026-812,ETANOL,03/08/2026,"3,49",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO ALAMEDA LTDA, 04.057.660/0001-60,ALAMEDA DR OCTAVIO PINHEIRO BRISOLLA,46167,,VILA SANTA TEREZA,17012-059,GASOLINA ADITIVADA,03/08/2026,"6,53",,R$ / litro,IPIRANGA
SE,SP,BAURU,AUTO POSTO ALAMEDA LTDA, 04.057.660/0001-60,ALAMEDA DR OCTAVIO PINHEIRO BRISOLLA,46167,,VILA SANTA TEREZA,17012-059,ETANOL,03/08/2026,"3,59",,R$ / litro,IPIRANGA
SE,SP,BAURU,AUTO POSTO ALAMEDA LTDA, 04.057.660/0001-60,ALAMEDA DR OCTAVIO PINHEIRO BRISOLLA,46167,,VILA SANTA TEREZA,17012-059,GASOLINA,03/08/2026,"6,39",,R$ / litro,IPIRANGA
