CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,CD_CONCURB,NM_CONCURB,AREA_KM2
3543402,Ribeir├úo Preto,350031,Ribeir├úo Preto,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,3543402.0,Ribeir├úo Preto/SP,650.916
3518859,Guatapar├í,350031,Ribeir├úo Preto,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,413.653
3518206,Guararapes,350022,Ara├ºatuba,3506,Ara├ºatuba,35,S├úo Paulo,SP,3,Sudeste,SE,,,955.637
3510005,C├óndido Mota,350014,Assis,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,,,595.811
3502606,Aparecida d'Oeste,350028,Jales,3507,S├úo Jos├® do Rio Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,179.004
3534609,Osvaldo Cruz,350019,Adamantina - Luc├®lia,3505,Presidente Prudente,35,S├úo Paulo,SP,3,Sudeste,SE,,,248.038
3502408,Anhumas,350018,Presidente Prudente,3505,Presidente Prudente,35,S├úo Paulo,SP,3,Sudeste,SE,3541406.0,Presidente Prudente/SP,320.84
3526407,Laranjal Paulista,350040,Piracicaba,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,384.274
3502507,Aparecida,350052,Guaratinguet├í,3511,S├úo Jos├® dos Campos,35,S├úo Paulo,SP,3,Sudeste,SE,3518404.0,Guaratinguet├í/SP,120.89
3551009,S├úo Vicente,350002,Santos,3501,S├úo Paulo,35,S├úo Paulo,SP,3,Sudeste,SE,3548500.0,Baixada Santista/SP,147.774
3534500,Oscar Bressane,350013,Mar├¡lia,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,,,222.13
3501806,Am├®rico de Campos,350027,Votuporanga,3507,S├úo Jos├® do Rio Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,252.876
3542800,Ribeira,350004,Itapeva,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,335.759
3526308,Lagoinha,350050,Taubat├® - Pindamonhangaba,3511,S├úo Jos├® dos Campos,35,S├úo Paulo,SP,3,Sudeste,SE,,,254.454
3509957,Canas,350052,Guaratinguet├í,3511,S├úo Jos├® dos Campos,35,S├úo Paulo,SP,3,Sudeste,SE,,,53.261
3518107,Guarant├ú,350012,Lins,3503,Bauru,35,S├úo Paulo,SP,3,Sudeste,SE,,,461.746
3550803,S├úo Sebasti├úo da Grama,350047,S├úo Jos├® do Rio Pardo - Mococa,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,252.41
3509908,Canan├®ia,350005,Registro,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,1237.354
3534807,Ouro Verde,350020,Dracena,3505,Presidente Prudente,35,S├úo Paulo,SP,3,Sudeste,SE,,,266.778
3542602,Registro,350005,Registro,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,722.201
3550902,S├úo Sim├úo,350031,Ribeir├úo Preto,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,617.252
3526605,Lavrinhas,350053,Cruzeiro,3511,S├úo Jos├® dos Campos,35,S├úo Paulo,SP,3,Sudeste,SE,,,166.948
3534906,Pacaembu,350019,Adamantina - Luc├®lia,3505,Presidente Prudente,35,S├úo Paulo,SP,3,Sudeste,SE,,,339.375
3542701,Restinga,350033,Franca,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,3516200.0,Franca/SP,245.746
3526704,Leme,350045,Araras,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,402.871
3518503,Guare├¡,350006,Itapetininga,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,567.719
3551207,Sarutai├í,350017,Piraju,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,,,141.608
3534708,Ourinhos,350015,Ourinhos,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,3534708.0,Ourinhos/SP,295.818
3510302,Capela do Alto,350003,Sorocaba,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,169.89
3543006,Ribeir├úo Branco,350004,Itapeva,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,697.5
3526506,Lav├¡nia,350024,Andradina,3506,Ara├ºatuba,35,S├úo Paulo,SP,3,Sudeste,SE,,,537.675
3543105,Ribeir├úo Corrente,350033,Franca,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,3516200.0,Franca/SP,148.332
3501707,Am├®rico Brasiliense,350036,Araraquara,3509,Araraquara,35,S├úo Paulo,SP,3,Sudeste,SE,3503208.0,Araraquara/SP,122.958
3518305,Guararema,350001,S├úo Paulo,3501,S├úo Paulo,35,S├úo Paulo,SP,3,Sudeste,SE,,,270.816
3510104,C├óndido Rodrigues,350036,Araraquara,3509,Araraquara,35,S├úo Paulo,SP,3,Sudeste,SE,,,70.892
3534757,Ouroeste,350029,Fernand├│polis,3507,S├úo Jos├® do Rio Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,288.648
3518404,Guaratinguet├í,350052,Guaratinguet├í,3511,S├úo Jos├® dos Campos,35,S├úo Paulo,SP,3,Sudeste,SE,3518404.0,Guaratinguet├í/SP,752.636
3551108,Sarapu├¡,350003,Sorocaba,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,352.592
3510203,Cap├úo Bonito,350004,Itapeva,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,1640.229
3542909,Ribeir├úo Bonito,350037,S├úo Carlos,3509,Araraquara,35,S├úo Paulo,SP,3,Sudeste,SE,,,471.553
3510153,Canitar,350015,Ourinhos,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,3534708.0,Ourinhos/SP,57.459
3525854,Jumirim,350003,Sorocaba,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,56.685
3502101,Andradina,350024,Andradina,3506,Ara├ºatuba,35,S├úo Paulo,SP,3,Sudeste,SE,,,964.226
3509502,Campinas,350038,Campinas,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,3509502.0,Campinas/SP,794.57
3509452,Campina do Monte Alegre,350006,Itapetininga,3502,Sorocaba,35,S├úo Paulo,SP,3,Sudeste,SE,,,184.479
3534104,Oriente,350013,Mar├¡lia,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,3529005.0,Mar├¡lia/SP,218.668
3501905,Amparo,350048,Amparo,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,445.323
3525904,Jundia├¡,350039,Jundia├¡,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,3525904.0,Jundia├¡/SP,431.162
3517703,Guar├í,350035,Ituverava,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,362.183
3550407,S├úo Pedro,350040,Piracicaba,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,611.51
3502002,Anal├óndia,350046,Rio Claro,3510,Campinas,35,S├úo Paulo,SP,3,Sudeste,SE,,,325.953
3533908,Ol├¡mpia,350032,Barretos,3508,Ribeir├úo Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,802.393
3550506,S├úo Pedro do Turvo,350015,Ourinhos,3504,Mar├¡lia,35,S├úo Paulo,SP,3,Sudeste,SE,,,731.221
3525706,Jos├® Bonif├ício,350025,S├úo Jos├® do Rio Preto,3507,S├úo Jos├® do Rio Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,860.2
3534005,Onda Verde,350025,S├úo Jos├® do Rio Preto,3507,S├úo Jos├® do Rio Preto,35,S├úo Paulo,SP,3,Sudeste,SE,,,242.946
