UF,Município,CEP,Qtd. Veículos,Combustível Veículo,Potência Veículo,"Frota de veículos, por tipo e com placa, segundo os Municípios da Federação - JULHO/2026",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,"Frota de veículos, por tipo e com placa, segundo as Grandes Regiões e Unidades da Federação - JUL/2026",Ano Modelo,Ano Fabricação CRV,Marca Modelo,Ano Fabricação Veículo CRV
,,,,,,,,132323836,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,,,,,
,,,,,,UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,,,,,
,,,,,,AC,ACRELANDIA,8892,1972,0,428,40,1050,99,0,7,15,4403,597,50,0,138,61,0,3,0,0,1,28,,,,,
,,,,,,AC,ASSIS BRASIL,2630,448,0,29,1,261,23,0,5,5,1646,157,6,0,37,6,0,0,0,0,0,6,,,,,
,,,,,,AC,BRASILEIA,14893,3263,0,405,379,2146,204,0,8,17,6421,1092,28,0,247,610,0,7,0,0,3,63,,,,,
,,,,,,AC,BUJARI,3709,904,0,162,60,506,28,0,11,6,1730,144,18,0,62,69,0,2,0,0,1,6,,,,,
,,,,,,AC,CAPIXABA,3603,989,0,100,10,404,32,0,12,3,1765,171,22,0,63,22,0,0,0,0,0,10,,,,,
,,,,,,AC,CRUZEIRO DO SUL,49627,9308,0,846,186,4497,673,0,44,65,22742,10292,92,0,188,384,0,53,0,0,18,239,,,,,
,,,,,,AC,EPITACIOLANDIA,9494,2571,0,359,107,1449,172,0,8,16,3515,889,24,0,176,169,0,3,0,0,3,33,,,,,
,,,,,,AC,FEIJO,6397,863,0,118,5,479,60,0,66,6,3683,996,10,0,47,12,0,4,0,0,31,17,,,,,
,,,,,,AC,JORDAO,309,23,0,7,0,42,2,0,0,2,169,62,1,0,1,0,0,0,0,0,0,0,,,,,
,,,,,,AC,MANCIO LIMA,5328,907,0,99,8,446,43,0,6,5,2936,820,24,0,6,10,0,2,0,0,0,16,,,,,
,,,,,,AC,MANOEL URBANO,2042,362,0,56,1,259,20,0,3,2,1073,212,6,0,40,3,0,0,0,0,0,5,,,,,
,,,,,,AC,MARECHAL THAUMATURGO,739,23,0,13,0,55,1,0,1,0,525,111,7,0,0,0,0,0,0,0,2,1,,,,,
,,,,,,AC,PLACIDO DE CASTRO,6709,1779,0,173,17,667,89,0,12,10,3133,609,27,0,128,32,2,5,0,0,6,20,,,,,
,,,,,,AC,PORTO ACRE,5827,1253,0,180,7,715,61,0,13,7,3192,251,46,0,75,13,0,6,0,0,1,7,,,,,
,,,,,,AC,PORTO WALTER,678,17,0,12,0,56,1,0,1,1,473,109,6,0,0,0,0,0,0,0,0,2,,,,,
,,,,,,AC,RIO BRANCO,239307,80629,0,4766,745,20969,5740,0,983,407,94838,20385,999,0,4890,1369,24,353,0,3,149,2058,,,,,
,,,,,,AC,RODRIGUES ALVES,2887,330,0,38,1,201,19,0,2,4,1745,520,14,0,3,0,0,0,0,0,0,10,,,,,
,,,,,,AC,SANTA ROSA DO PURUS,340,21,0,7,0,36,3,0,0,0,228,37,3,0,5,0,0,0,0,0,0,0,,,,,
,,,,,,AC,SENA MADUREIRA,13762,2176,0,156,21,1369,150,0,42,5,7112,2482,11,0,138,35,0,3,0,0,2,60,,,,,
,,,,,,AC,SENADOR GUIOMARD,9622,2870,0,360,80,965,138,0,41,14,3959,751,44,0,242,110,1,4,0,0,3,40,,,,,
,,,,,,AC,TARAUACA,7734,889,0,178,27,631,78,0,11,16,3795,1954,17,0,41,54,0,0,0,0,10,33,,,,,
,,,,,,AC,XAPURI,6499,994,0,108,12,631,68,0,6,6,4042,500,12,0,69,24,1,1,0,0,3,22,,,,,
,,,,,,AL,AGUA BRANCA,6848,1510,0,165,7,578,120,0,18,138,3950,235,36,0,59,12,0,6,0,1,0,13,,,,,
,,,,,,AL,ANADIA,4269,1492,0,80,3,252,118,0,10,37,1810,281,57,0,104,3,0,0,0,0,0,22,,,,,
,,,,,,AL,ARAPIRACA,159798,46722,0,3617,654,9219,4042,0,2293,565,63653,21198,832,0,3815,903,9,41,0,3,45,2187,,,,,
,,,,,,AL,ATALAIA,11046,5086,0,280,13,416,249,0,194,58,3394,433,204,0,608,34,0,5,0,1,2,69,,,,,
,,,,,,AL,BARRA DE SANTO ANTONIO,4014,1458,0,49,5,184,73,0,294,17,1512,201,49,0,129,14,0,2,0,0,0,27,,,,,
,,,,,,AL,BARRA DE SAO MIGUEL,3336,1269,0,32,2,210,102,0,342,7,1026,130,20,0,111,2,0,1,0,0,2,80,,,,,
,,,,,,AL,BATALHA,5862,1700,0,182,12,420,102,0,5,50,2823,373,32,0,114,17,0,1,0,0,1,30,,,,,
,,,,,,AL,BELEM,1728,454,0,16,0,98,31,0,8,15,987,46,10,0,54,0,0,1,0,0,0,8,,,,,
,,,,,,AL,BELO MONTE,1272,277,0,43,2,113,16,0,1,17,745,24,9,0,13,4,0,0,0,0,0,8,,,,,
,,,,,,AL,BOCA DA MATA,7951,2311,0,223,24,398,132,0,25,97,3467,843,116,0,229,57,0,0,0,1,3,25,,,,,
,,,,,,AL,BRANQUINHA,2337,631,0,33,0,125,30,0,21,26,1305,65,35,0,53,7,0,1,0,0,0,5,,,,,
,,,,,,AL,CACIMBINHAS,3266,902,0,103,2,201,53,0,9,45,1767,87,20,0,69,1,0,0,0,0,0,7,,,,,
,,,,,,AL,CAJUEIRO,4414,1378,0,107,1,158,91,0,28,15,2082,319,54,0,152,7,0,2,0,0,1,19,,,,,
,,,,,,AL,CAMPESTRE,913,397,0,54,9,70,28,0,1,53,210,32,13,0,27,12,0,0,0,1,1,5,,,,,
,,,,,,AL,CAMPO ALEGRE,7845,2545,0,231,88,410,101,0,76,119,2803,798,204,0,279,138,0,19,0,0,1,33,,,,,
,,,,,,AL,CAMPO GRANDE,3684,722,0,50,1,195,34,0,7,17,2421,159,22,0,35,1,0,1,0,0,0,19,,,,,
,,,,,,AL,CANAPI,4435,1136,0,112,3,315,55,0,8,110,2453,121,28,0,63,8,0,4,0,0,1,18,,,,,
,,,,,,AL,CAPELA,3109,1069,0,68,4,177,60,0,46,11,1315,135,79,0,122,6,0,1,0,1,0,15,,,,,
,,,,,,AL,CARNEIROS,2187,568,0,51,1,128,36,0,1,22,1245,35,33,0,38,10,0,1,0,0,1,17,,,,,
,,,,,,AL,CHA PRETA,1953,420,0,33,1,155,27,0,3,16,1201,36,11,0,35,4,0,0,0,0,0,11,,,,,
