marca_uber,modelo_uber,marca_fipe,modelo_fipe,ano_modelo,combustivel,preco_fipe,codigo_fipe,mes_referencia
Aston MartinDown,DBS,ASTON MARTIN,DBS Coupe 5.2 V12 725cv,2023,Gasolina,"R$ 3.970.239,00",085014-4,setembro de 2026
AudiDown,A1,Audi,A1 1.4 TFSI 122cv S-tronic 3p,2014,Gasolina,"R$ 64.760,00",008153-1,setembro de 2026
AudiDown,A3 Sportback,Audi,A3 Sportback 1.4 TFSI S-tronic,2018,Gasolina,"R$ 94.061,00",008184-1,setembro de 2026
AudiDown,A4 Avant,Audi,A4 Avant Lim. Ed. 2.0 TFSI S tronic,2018,Gasolina,"R$ 156.725,00",008226-0,setembro de 2026
AudiDown,A6,Audi,A6 2.0 TFSI 252cv S tronic 4p,2018,Gasolina,"R$ 147.837,00",008200-7,setembro de 2026
AudiDown,A8,Audi,A8 3.0 TFSI 310cv Quattro Tiptronic 4p,2016,Gasolina,"R$ 271.139,00",008199-0,setembro de 2026
AudiDown,e-tron,Audi,A6 Sport. e-tron Perf. Black (Elétrico),2026,Elétrico,"R$ 585.451,00",008315-1,setembro de 2026
AudiDown,Q3,Audi,Q3 1.4 TFSI/TFSI Flex S-tronic 5p,2019,Gasolina,"R$ 107.100,00",008201-5,setembro de 2026
AudiDown,Q5,Audi,Q5 2.0 16V TFSI 225cv Quattro Tiptronic,2017,Gasolina,"R$ 113.445,00",008186-8,setembro de 2026
AudiDown,Q6,Audi,Q6 E-TRON Quattro Perf. Black (Elétrico),2025,Elétrico,"R$ 463.883,00",008309-7,setembro de 2026
AudiDown,Q7,Audi,Q7 3.0 V6 TDI Quat.Tip. 5p Die./Perfor.,2019,Diesel,"R$ 205.588,00",008213-9,setembro de 2026
AudiDown,Q8,Audi,Q8 E-TRON Launch Edition (Elétrico),2024,Elétrico,"R$ 403.348,00",008297-0,setembro de 2026
AudiDown,S3,Audi,RS3 Sedan 2.5 TFSI Quattro S-tronic,2026,Gasolina,"R$ 573.418,00",008221-0,setembro de 2026
