marca,modelo,uberx_ano_min,comfort_ano_min,black_ano_min,electric_ano_min
AcuraDown,CL,2011,,,
AcuraDown,Integra,2011,,,
AcuraDown,MDX,2011,,,
AcuraDown,NSX,2011,,,
AcuraDown,TL,2011,,,
AcuraDown,ZDX,2011,,,
AionDown,ES,2011,2019.0,2019.0,2017.0
AionDown,V,2011,2019.0,2019.0,2017.0
AionDown,Y,2011,2019.0,2019.0,2017.0
AiwaysDown,U5,2011,,,2017.0
Alfa RomeoDown,147,2011,,,
Alfa RomeoDown,156,2011,2019.0,,
Alfa RomeoDown,159,2011,2019.0,2019.0,
Alfa RomeoDown,166,2011,2019.0,2019.0,
Alfa RomeoDown,939,2011,2019.0,2019.0,
Alfa RomeoDown,Giulietta,2011,2019.0,2019.0,
Alfa RomeoDown,GTV,2011,2019.0,2019.0,
Alfa RomeoDown,4C,2011,,,
Alfa RomeoDown,4C Spider,2011,,,
Alfa RomeoDown,GT,2011,,,
Alfa RomeoDown,Mito,2011,,,
Aston MartinDown,DBS,2011,2019.0,2019.0,
Aston MartinDown,One-77,2011,,,
AudiDown,80,2011,2019.0,,
AudiDown,100,2011,2019.0,2019.0,
AudiDown,A1,2011,2019.0,,
AudiDown,A3,2011,2019.0,2019.0,
AudiDown,A3 Limousine,2011,2019.0,2019.0,
AudiDown,A3 Sportback,2011,2019.0,2019.0,
AudiDown,A4,2011,2019.0,2019.0,
AudiDown,A4 Avant,2011,2019.0,2019.0,
AudiDown,A5,2011,2019.0,2019.0,
AudiDown,A5 Avant,2011,2019.0,2019.0,
AudiDown,A6,2011,2019.0,2019.0,
AudiDown,A6 Avant,2011,2019.0,2019.0,
AudiDown,A7,2011,2019.0,2019.0,
AudiDown,A8,2011,2019.0,2019.0,
AudiDown,e-tron,2011,2019.0,2019.0,2017.0
AudiDown,Audi e-tron Sportback,2011,2019.0,2019.0,2017.0
AudiDown,Q3,2011,2019.0,2019.0,
AudiDown,Q5,2011,2019.0,2019.0,
AudiDown,Q6,2011,2019.0,2019.0,
AudiDown,Q7,2011,2019.0,2019.0,
AudiDown,Q8,2011,2019.0,2019.0,
AudiDown,RS 3,2011,2019.0,2019.0,
AudiDown,RS 4,2011,2019.0,2019.0,
AudiDown,RS 6,2011,2019.0,2019.0,
AudiDown,S3,2011,2019.0,2019.0,
AudiDown,S4 Avant,2011,2019.0,2019.0,
AudiDown,S5 Sportback,2011,2019.0,2019.0,
AudiDown,S6,2011,2019.0,2019.0,
AudiDown,S7,2011,2019.0,2019.0,
AudiDown,SQ5,2011,2019.0,2019.0,
AudiDown,TTS,2011,2019.0,2019.0,
AudiDown,E-Tron GT,2011,,,2017.0
AudiDown,Q4 e-tron,2011,,,2017.0
AudiDown,Q4 Sportback e-tron,2011,,,2017.0
AudiDown,A2,2011,,,
AudiDown,A3 Cabriolet,2011,,,
AudiDown,A4 Cabriolet,2011,,,
AudiDown,A5 Cabriolet,2011,,,
AudiDown,S5 Cabriolet,2011,,,
AudiDown,S8,2011,,,
BAICDown,E150,2011,,,2017.0
BAICDown,EU260,2011,,,2017.0
BAICDown,EX360,2011,,,2017.0
BMWDown,1-series,2011,2019.0,2019.0,
BMWDown,2-Series 225xe,2011,2019.0,2019.0,
BMWDown,Série 2 Active Tourer,2011,2019.0,2019.0,
BMWDown,2-series Gran Tourer,2011,2019.0,2019.0,
BMWDown,3-series,2011,2019.0,2019.0,
BMWDown,3-Series 330e,2011,2019.0,2019.0,
BMWDown,Série 3 Gran Turismo,2011,2019.0,2019.0,
BMWDown,316i,2011,2019.0,2019.0,
BMWDown,320i,2011,2019.0,2019.0,
BMWDown,4-series,2011,2019.0,2019.0,
BMWDown,4-series Gran Coupe,2011,2019.0,2019.0,
BMWDown,5-series,2011,2019.0,2019.0,
BMWDown,5-Series 530e,2011,2019.0,2019.0,
BMWDown,Série 5 Gran Turismo,2011,2019.0,2019.0,
BMWDown,6-series,2011,2019.0,2019.0,
BMWDown,6-series Gran Coupe,2011,2019.0,2019.0,
BMWDown,7-series,2011,2019.0,2019.0,
BMWDown,7-Series 745e,2011,2019.0,2019.0,
BMWDown,ActiveHybrid 5,2011,2019.0,2019.0,
BMWDown,M3,2011,2019.0,2019.0,
BMWDown,M5,2011,2019.0,2019.0,
BMWDown,X1,2011,2019.0,2019.0,
BMWDown,X2,2011,2019.0,2019.0,
BMWDown,X3,2011,2019.0,2019.0,
BMWDown,X4,2011,2019.0,2019.0,
BMWDown,X5,2011,2019.0,2019.0,
BMWDown,X6,2011,2019.0,2019.0,
BMWDown,X7,2011,2019.0,2019.0,
BMWDown,i3,2011,,,2017.0
BMWDown,i4,2011,,,2017.0
BMWDown,i7,2011,,,2017.0
BMWDown,iX,2011,,,2017.0
BMWDown,iX1,2011,,,2017.0
BMWDown,iX3,2011,,,2017.0
