id_posto,titulo,operadora,logradouro,bairro_cidade,latitude,longitude,qtd_pontos_recarga,potencia_max_kw,tipos_conectores,status_operacional,custo_uso
481244,Volvo - Faberge Mogi das Cruzes,Não informado,"Av. Ipiranga, 1252 - República - São Paulo - SP",São Paulo,-23.539995,-46.637025,1,7.0,,Desconhecido,
481238,BYD Dealer Moóca,Não informado,"Av. Alcântara Machado, 576 - Mooca, - SP",São Paulo,-23.550967,-46.619468,2,60.0,,Desconhecido,
188927,Shopping Cidade São Paulo,Não informado,1230 Avenida Paulista,São Paulo,-23.563426311792043,-46.65262563995975,1,7.0,,Desconhecido,
463991,NetPark - Safra Paulista,Não informado,"Alameda Campinas, 450 - Jardim Paulista, São Paulo - SP, 01404-000",São Paulo,-23.565127,-46.652815,2,7.0,,Desconhecido,
493908,Ayra Higienópolis,Não informado,"Av. Angélica, 634 - Santa Cecília",São Paulo,-23.5385054,-46.6550604,1,7.0,,Desconhecido,
484657,Ayra Higienópolis,Não informado,"Av. Angélica, 634 - Santa Cecília",São Paulo,-23.5385054,-46.6550604,1,7.0,,Desconhecido,
463993,NetPark - Frei Caneca,Não informado," Rua Frei Caneca, 1355",São Paulo,-23.558444,-46.657798,2,7.0,,Desconhecido,
472929,Fifty,Não informado,Rua Joao Antonio de Oliveira,,-23.55655453757649,-46.605975167818656,1,,,Desconhecido,
474661,Eco Luz - Vila Monumento,Não informado,"Avenida Dom Pedro I, 372",São Paulo,-23.568422293035272,-46.611635973921466,5,120.0,,Desconhecido,
459074,Cond. Haddock Offices,Não informado,"Alameda Santos, 2326 - Jardim Paulista, São Paulo - SP, Brasil",São Paulo,-23.55792,-46.662059,2,22.0,,Desconhecido,
507560,Cond. Haddock Offices,Não informado,"Alameda Santos, 2326 - Jardim Paulista, São Paulo - SP, Brasil",São Paulo,-23.55792,-46.662059,2,7.0,,Desconhecido,
459073,Hotel Renaissance São Paulo,Não informado,"Alameda Santos, 2233 - Jardim Paulista, São Paulo - SP, 01419-002",São Paulo,-23.55865,-46.662117,1,7.0,,Desconhecido,
235316,EZVolt Canindé,Não informado,"Rua Araguaia, 450",São Paulo,-23.525331839031068,-46.61824130456199,2,60.0,,Desconhecido,"R$ 1,97/KWh"
507559,HOUSI - Bela Cintra,Não informado," R. Bela Cintra, 1425 - Cerqueira César, São Paulo - SP, 01415-001",São Paulo,-23.558693,-46.664027,1,7.0,,Desconhecido,
459072,HOUSI - Bela Cintra,Não informado," R. Bela Cintra, 1425 - Cerqueira César, São Paulo - SP, 01415-001",São Paulo,-23.558693,-46.664027,1,7.0,,Desconhecido,
481230,Volvo - Pão de Açúcar - Sede Jd Paulista,Não informado,"Av. Brigadeiro Luís Antônio, 3126 - Jardins, São Paulo - SP, Cep: 01402-901",São Paulo,-23.57272,-46.655087,1,7.0,,Desconhecido,
188928,Pão de Açúcar Jardim Paulista,Não informado,Avenida Brigadeiro Luís Antônio,São Paulo,-23.573323,-46.654959,1,3.2,,Desconhecido,
459070,Hotel Novotel SP Jardins,Não informado,"Alameda Campinas, 1435 - Jardim Paulista, São Paulo - SP, 01404-002",São Paulo,-23.572494,-46.659518,1,7.0,,Desconhecido,
507557,Hotel Novotel SP Jardins,Não informado,"Alameda Campinas, 1435 - Jardim Paulista, São Paulo - SP, 01404-002",São Paulo,-23.572494,-46.659518,1,7.0,,Desconhecido,
481232,Volvo - Pão de Açúcar - Oscar Freire,Não informado,"Al. Ministro Rocha Azevedo, 1136 - Jd. Paulista, São Paulo - SP",São Paulo,-23.566032,-46.66502,1,7.0,,Desconhecido,
470649,Tcharge Eletroposto - Ricardo Jafet (SP),Não informado,"Av. Dr. Ricardo Jafet, 168 - Ipiranga",São Paulo,-23.57934617306097,-46.61268341338569,1,40.0,,Desconhecido,"R$1,50 + R$1,95/kWh"
481245,Volvo - Autostar Pacaembu/Barra Funda,Não informado,"Rua Norma Pieruccini Gianotti, nº 725 - Barra Funda - SP",São Paulo,-23.523279,-46.657661,1,7.0,,Desconhecido,
481233,Volvo - CJ Shop - São Paulo - SP,Não informado,"Rua Haddock Lobo, 1626 - Cerqueira César, São Paulo - SP",São Paulo,-23.564306,-46.668757,2,7.0,,Desconhecido,
498022,Win Work Ibirapuera,Não informado,"R. Dr. Amâncio de Carvalho, 182 - Vila Mariana, São Paulo - SP, 04012-080",São Paulo,-23.583313,-46.651744,2,7.0,,Desconhecido,
481226,Volvo - Pão de Açúcar - Ricardo Jaffet,Não informado,"R. Prof. Serafim Orlandi, 299 - Jardim Vila Mariana, São Paulo - SP",São Paulo,-23.587736,-46.620244,1,7.0,,Desconhecido,
507565,Think Business Center,Não informado,"Av. Marquês de São Vicente, 230 - Várzea da Barra Funda, São Paulo - SP",São Paulo,-23.521619,-46.66221,1,7.0,,Desconhecido,
459079,Think Business Center,Não informado,"Av. Marquês de São Vicente, 230 - Várzea da Barra Funda, São Paulo - SP",São Paulo,-23.521619,-46.66221,1,7.0,,Desconhecido,
481243,Volvo - Granstad Belém (Radial),Não informado,"Av. Alcântara Machado, 3628, Pavilhão ""a"" - Quarta Parada, São Paulo, SP",São Paulo,-23.543964,-46.590131,1,7.0,,Desconhecido,
463992,NetPark - Supéria Pinheiros,Não informado,"Rua Cardeal Arcoverde, 745 - cj 301 - Pinheiros, São Paulo - SP",São Paulo,-23.556774,-46.679939,1,7.0,,Desconhecido,
507563,HOUSI - Turiassu,Não informado,"R. Turiassu, 1473 - Perdizes, São Paulo - SP, 05005-001",São Paulo,-23.530254,-46.676761,1,22.0,,Desconhecido,
459077,HOUSI - Turiassu,Não informado,"R. Turiassu, 1473 - Perdizes, São Paulo - SP, 05005-001",São Paulo,-23.530254,-46.676761,1,22.0,,Desconhecido,
507554,Estacionamento EZ Mark,Não informado,"Rua Domingos de Morais, 2187",São Paulo,-23.595483,-46.636218,4,7.0,,Desconhecido,
459066,Estacionamento EZ Mark,Não informado,"Rua Domingos de Morais, 2187",São Paulo,-23.595483,-46.636218,2,7.0,,Desconhecido,
210034,Hub EZVolt,Não informado,Rua Domingos da Fonseca 34,São Paulo,-23.575537,-46.592306,2,60.0,,Desconhecido,R$ 1.77 / kWh DC / R$ 1.47 / kWh AC
460916,Atlas Estacionamentos - Ibirapuera,Não informado,"R. Sena Madureira, 1355 - bloco 1 - Ibirapuera, São Paulo - SP, 04021-051",São Paulo,-23.592811,-46.652129,1,7.0,,Desconhecido,
484656,Ayra Pinheiros,Não informado,"Rua dos Pinheiros, 423 - Pinheiros",São Paulo,-23.5654975,-46.68211918,1,23.0,,Desconhecido,
493907,Ayra Pinheiros,Não informado,"dos Pinheiros, 423 - Pinheiros",São Paulo,-23.5654975,-46.68211918,1,23.0,,Desconhecido,
507553,Estacionamento Gallery Offices,Não informado," Rua Santa Cruz, 722 - Vila Mariana, São Paulo - SP, Brasil",São Paulo,-23.597703,-46.629607,1,22.0,,Desconhecido,
459065,Estacionamento Gallery Offices,Não informado," Rua Santa Cruz, 722 - Vila Mariana, São Paulo - SP, Brasil",São Paulo,-23.597703,-46.629607,1,22.0,,Desconhecido,
463989,NetPark - Head Offices,Não informado,"R. Joaquim Floriano, 72 - Itaim Bibi, São Paulo - SP, 04534-000",São Paulo,-23.583026,-46.670811,1,7.0,,Desconhecido,
