Modelo,Fabricante,Veiculos_Vendidos,Part_Mercado_Pct
BYD DOLPHIN MINI GS5EV,BYD,80820,9.2587
BYD DOLPHIN GS 180EV,BYD,58259,6.6741
BYD SONG PLUS GS DM,BYD,57821,6.624
TOYOTA CCROSS XRX HYBRID,TOYOTA,57745,6.6153
BYD SONG PRO GS DM,BYD,40565,4.6471
TOYOTA COROLLA APREMIUMH,TOYOTA,24688,2.8283
BYD KING GS DM,BYD,22091,2.5307
GEELY EX2 MAX,GEELY,17966,2.0582
GWM HAVAL H6 PHEV 19,GWM,16980,1.9452
BYD SONG PRO GL DM,BYD,15848,1.8155
BYD DOLPHIN MINI GS EV,BYD,15827,1.8131
GWM HAVAL H6 PREM HEV,GWM,15624,1.7899
GWM HAVAL H6 GT,GWM,14576,1.6698
CAOACHERY TIGGO8 PHEV,CAOA CHERY,11224,1.2858
GEELY EX2 PRO,GEELY,10958,1.2553
GWM HAVAL H6 PREM PHEV,GWM,10913,1.2502
OMODA 5 HEV PRESTIGE,OMODA JAECOO,10153,1.1631
BYD YUAN PRO GS 290EV,BYD,9273,1.0623
BYD DOLPHIN MINI GL5EV,BYD,8983,1.0291
BYD SEAL AWD GS 590EV,BYD,8669,0.9931
GWM HAVAL H6 PHEV19,GWM,8479,0.9714
GWM HAVAL H6 HEV2,GWM,8453,0.9684
BYD DOLPHIN PLUS 310EV,BYD,7746,0.8874
TOYOTA COROLLA GLI HEV,TOYOTA,7439,0.8522
JAECOO 7 ELITE,OMODA JAECOO,7222,0.8274
TOYOTA RAV4H SXAWD CNT,TOYOTA,7017,0.8039
TOYOTA YCROSS XRX-HYBRID,TOYOTA,6622,0.7586
BYD KING GL DM,BYD,6500,0.7446
BYD SONG PLUS PREM DM,BYD,6418,0.7352
OMODA 5 HEV LUXURY,OMODA JAECOO,6298,0.7215
CHEV SPARK EUV ACTIV,GM,6006,0.688
GWM ORA 03 SKIN BEV48,GWM,5824,0.6672
GWM HAVAL H6 HEV,GWM,5748,0.6585
GWM TANK 300 PHEV,GWM,5740,0.6576
BYD YUAN PLUS GL 310EV,BYD,5715,0.6547
JAECOO 7 PRESTIGE,OMODA JAECOO,5419,0.6208
TOYOTA CCROSS XRV HYBRID,TOYOTA,5367,0.6148
CAOACHERY TIGGO5X PRO H,CAOA CHERY,4920,0.5636
GWM HAVAL H6 HEV2 FLEX,GWM,4582,0.5249
GWM ORA 03 GT BEV63,GWM,4418,0.5061
GAC GS4 ELITE,GAC,4372,0.5009
LPM C10 REEV E27,LEAPMOTOR,4101,0.4698
VOLVO XC60 T8 PLUS,VOLVO,4066,0.4658
JAECOO 7 LUXURY,OMODA JAECOO,4056,0.4647
VOLVO XC60 T8 ULTIMATE,VOLVO,3841,0.44
CAOACHERY TIGGO5X PRO HA,CAOA CHERY,3713,0.4254
GWM HAVAL H6 PHEV19 FF,GWM,3611,0.4137
BMW X5 XDRIVE50E MSP,BMW,3537,0.4052
VOLVO EX30 E60 ULTRA,VOLVO,3453,0.3956
CAOACHERY TIGGO7 PRO HA,CAOA CHERY,3340,0.3826
HONDA CIVIC HYB TRNG,HONDA,3314,0.3797
TOYOTA COROLLA ALTIS HV,TOYOTA,3299,0.3779
RENAULT E-KWID INTENS,RENAULT,3062,0.3508
TOYOTA YCROSS XRE-HYBRID,TOYOTA,2976,0.3409
JAC E JS1,JAC,2938,0.3366
GWM HAVAL H6 PHEV35,GWM,2816,0.3226
CAOACHERY TIGGO7 PRO H,CAOA CHERY,2761,0.3163
KIA SPORTAGE TMHEV EXP,KIA,2680,0.307
VOLVO XC40 6 PLUS,VOLVO,2626,0.3008
VOLVO XC60 T8 ULT DARK,VOLVO,2620,0.3001
DENZA B5 GS DM,DENZA,2568,0.2942
GWM HAVAL H6 HEV ESP,GWM,2561,0.2934
BYD DOLPHIN SE 290EV,BYD,2542,0.2912
GEELY EX5 EM-I MAX,GEELY,2492,0.2855
PORSCHE CAYENNE CP PHE,PORSCHE,2459,0.2817
KIA STONIC MHEV SX,KIA,2401,0.2751
VOLVO XC60 T8 ULTRA,VOLVO,2325,0.2664
GEELY EX5 MAX,GEELY,2303,0.2638
GAC AION V ELITE,GAC,2246,0.2573
HONDA CR-V FH-TOU,HONDA,2227,0.2551
BMW 330E,BMW,2224,0.2548
GWM WEY 07,GWM,2077,0.2379
AUDI Q5 SB P-HIBRIDO,AUDI,2061,0.2361
BMW X3 XDRIVE30E,BMW,2040,0.2337
BYD SONG PRO GS DM FLEX,BYD,1996,0.2287
BYD SHARK GS DM,BYD,1894,0.217
GEELY EX5 EM-I ULTRA,GEELY,1890,0.2165
JETOUR T2 I-DM PREMIUM,JETOUR,1817,0.2082
GWM ORA 5,GWM,1810,0.2074
CHEV CAPTIVA EV PR,GM,1702,0.195
M.BENZ C200 AMG LINE,M.BENZ,1622,0.1858
CAOACHERY TIGGO7 PHEV,CAOA CHERY,1590,0.1821
BMW X6 XDRIVE40I MSP,BMW,1575,0.1804
GAC AION UT ELITE,GAC,1549,0.1775
FORD MAVERICK LRT HYB,FORD,1527,0.1749
PORSCHE CAYENNE PHEV,PORSCHE,1503,0.1722
FORD MAVERICK HYB LRT,FORD,1451,0.1662
MMC OUTLANDER SIGNTR E,MITSUBISHI,1387,0.1589
FIAT FASTBACK AUDACE HYB,FIAT,1383,0.1584
M.BENZ C300 AMG LINE,M.BENZ,1383,0.1584
GWM HAVAL H6 PHEV,GWM,1338,0.1533
GWM ORA 03 BEV58 C,GWM,1312,0.1503
LPM C10 DESIGN,LEAPMOTOR,1286,0.1473
OMODA E5,OMODA JAECOO,1271,0.1456
GWM ORA 03 BEV58,GWM,1263,0.1447
MINI COUNTRYMAN PHEV,MINI,1260,0.1443
GWM TANK 300 PHEV FLEX,GWM,1246,0.1427
VOLVO XC90 T8 ULTIMATE,VOLVO,1244,0.1425
VOLVO XC40 8 ULTIMATE,VOLVO,1236,0.1416
BYD ATTO 8 GS DM,BYD,1231,0.141
VOLVO EX30 E60 PLUS,VOLVO,1218,0.1395
AUDI Q5 P-HIBRIDO,AUDI,1178,0.135
GAC AION UT PREMIUM,GAC,1176,0.1347
LPM B10 LIFE,LEAPMOTOR,1168,0.1338
CAOACHERY ARRIZO6 PROH,CAOA CHERY,1143,0.1309
VOLVO C40 8 ULTIMATE,VOLVO,1129,0.1293
VOLVO EX30 E60 CORE,VOLVO,1090,0.1249
OMODA 7 PHEV PRESTIGE,OMODA JAECOO,1085,0.1243
