id_publico_oferta,url_oferta,tipo_oferta_fonte,cidade,territorio_uber_id,locadora,veiculo,categorias_uber,valor_display,valor_reais,periodicidade_valor,valor_semanal_equivalente,valor_mensal_equivalente,caucao_reais,km_inclusos,valor_km_excedente_reais,sem_limite_quilometragem,seguro_incluso,manutencao_inclusa,ipva_incluso,carro_reserva_incluso,opcao_compra,itens_inclusos,descricao,requisitos,data_coleta,valor_card_display,tipos_oferta_fonte,url_categoria_origem,arquivo_categoria_origem,arquivo_html_detalhe,origem_detalhe
0td6fzcp3df6v786x2dkwkzrvm,https://earn.uber.com/offer/0td6fzcp3df6v786x2dkwkzrvm,aluguel,São Paulo,458,cabral locacoes,Toyota Corolla,"Black, Black Bag, Comfort, UberX","R$1.250,00",1250.0,semanal,1250.0,5416.666666666667,3250.0,,,,False,False,False,False,False,,,Comprovante de residência | Estacionamento protegido | Motorista parceiro com experiência na plataforma da Uber | Avaliação mínima da Uber | Depósito caução | Idade mínima | Local de partida,2026-09-22,"R$ 1.250,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\0td6fzcp3df6v786x2dkwkzrvm.html,cache
19cad795phcjx3jwbdyfva11c0,https://earn.uber.com/offer/19cad795phcjx3jwbdyfva11c0,aluguel,São Paulo,458,LM Veículos para Apps,Volkswagen T-Cross ou similar,"Black, Black PIN Dispatch, Comfort, Uber Reserve Test Drive, UberX","R$1.328,00",1328.0,semanal,1328.0,5754.666666666667,700.0,,,,True,True,False,False,False,"Seguro do veículo | Manutenção | 💳 Pagamentos facilitados: opções semanais. | 🛠️ Manutenções preventivas incluídas. | 🚗 Auto proteção contra imprevistos. | 🆘 Assistência 24h, em todo o Brasil. | 🎁 Campanha de Indicação: indique um novo motorista e ganhe desconto na próxima fatura!","Alugue seu carro na categoria Black e dirija sem burocracia! Planos flexíveis com auto proteção, assistência 24h e manutenções preventivas incluídas. Ideal para motoristas de aplicativo que buscam conforto, segurança e praticidade no dia a dia.","Comprovante de residência | Para seguir com a pré-reserva, é necessário: | -Ser maior de 21 anos; -Possuir CNH emitida há pelo menos 3 anos; -Enviar comprovante de residência (conta de consumo recente). | 📲 Para mais informações, entre em contato com a Central de Reservas LM pelo WhatsApp 0800 075 5050 ou acesse lmmobilidade.com.br/lmveiculosapps | Termos e Condições | Oferta exclusiva para motoristas de aplicativo, mediante comprovação da atividade de transporte de passageiros. Sujeita à análise de crédito e à disponibilidade de estoque, podendo ser alterada ou revogada sem aviso prévio. Válida até 30/10/2026. Contrato mínimo de 30 dias. Inclui auto proteção, assistência 24h e manutenções preventivas. Caução a partir de R$ 700,00 para o grupo S. Disponível nas cidades: Salvador (BA), São Bernardo do Campo (SP), Curitiba (PR) e Contagem (MG). Imagem meramente ilustrativa.",2026-09-22,"R$ 1.328,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\19cad795phcjx3jwbdyfva11c0.html,cache
1mctstawr5e3hdc4gtwjak78s8,https://earn.uber.com/offer/1mctstawr5e3hdc4gtwjak78s8,aluguel,São Paulo,458,URBAN LOCAÇÃO DE VEÍCULOS,Toyota Yaris,"Comfort, UberX","R$765,00",765.0,semanal,765.0,3315.0,,,,,True,True,False,False,False,"Seguro do veículo | Manutenção | Uso ilimitado do veículo | Veículo de substituição | Toyota Yaris Sedan 1.5 Automático | Você pode escolher por planos com KM livre ou controlada | SIM, alugamos para motoristas NEGATIVADOS. | Parcele em até 10x no cartão de crédito",Toyota Yaris 1.5 Sedan Câmbio Automático Central Multimídia,Comprovante de residência | Comprovante do seguro | Estacionamento protegido | Motorista parceiro com experiência na plataforma da Uber | Depósito caução | Local de partida,2026-09-22,"R$ 765,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\1mctstawr5e3hdc4gtwjak78s8.html,cache
1vjcmb41y9f8dek7kn5s982dfc,https://earn.uber.com/offer/1vjcmb41y9f8dek7kn5s982dfc,aluguel,São Paulo,458,Grupo Carro na Mão,Chevrolet Onix,UberX,"R$693,00",693.0,semanal,693.0,3003.0,1500.0,,693.0,,True,True,False,False,True,"Manutenção | Promoção por indicação | Veículo de substituição | Atendimento rápido e suporte durante a locação, assistência 24h, IPVA, licenciamento, proteção veicular, revisão e manutenção preventiva. Consulte condições para opção de compra, carros seminovos, planos a partir de R$ 798,00/semana.",Comece no aluguel e tenha a opção de comprar o veículo (consulte condições).,Comprovante de residência | Motorista parceiro com experiência na plataforma da Uber | Depósito caução | Idade mínima | Local de partida,2026-09-22,"R$ 693,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\1vjcmb41y9f8dek7kn5s982dfc.html,cache
1wjaer46esfg1118d19bpsvs6m,https://earn.uber.com/offer/1wjaer46esfg1118d19bpsvs6m,aluguel,São Paulo,458,Grupo Carro na Mão,Citroen C4 Cactus,"Black, Black PIN Dispatch, Comfort, Uber Reserve Test Drive, UberX","R$928,00",928.0,semanal,928.0,4021.3333333333335,2500.0,,928.0,,True,True,False,False,True,"Manutenção | Promoção por indicação | Veículo de substituição | Atendimento rápido e suporte durante a locação, assistência 24h, IPVA, licenciamento, proteção veicular, revisão e manutenção preventiva.",Comece no aluguel e tenha a opção de comprar o veículo (consulte condições).,Comprovante de residência | Estacionamento protegido | Motorista parceiro com experiência na plataforma da Uber | Depósito caução | Idade mínima | Local de partida,2026-09-22,"R$ 928,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\1wjaer46esfg1118d19bpsvs6m.html,cache
2q2g7bbxc98v588ancx341eybm,https://earn.uber.com/offer/2q2g7bbxc98v588ancx341eybm,aluguel,São Paulo,458,Localiza Zarp,Fiat Mobi ou similar,UberX,"R$699,90",699.9,semanal,699.9,3032.8999999999996,,,,,True,True,False,False,False,"Seguro do veículo | Manutenção | Assistência 24h , substituição grátis após 4 horas do carro em manutenção, desconto combustivel, desconto em lavagem, desconto farmácia, bonificação por indicação","Não alugue só pelo preço da primeira semana. Escolha quem te dá estabilidade para ganhar o mês inteiro. Com a Localiza Zarp você tem previsibilidade, economia real e suporte de verdade para rodar todos os dias com tranquilidade. Alugue mesmo negativado Caução em até 10x sem juros (mais flexibilidade no início) Aceitamos cartão próprio ou de terceiros Pacotes de KM a partir de 750 km — você escolhe o que faz sentido para sua rotina Possibilidade de pausar o contrato Aqui você não para de rodar: Disponibilidade : substituição garantida para manutenções acima de 4h Segurança : atendimento emergencial 24h Economia : IPVA, revisão e manutenção inclusos Previsibilidade : proteção com até 80% de desconto no custo com acidentes e avarias Economia todo dia, não só na primeira semana: Combustível: descontos a partir de R$0,25 por litro em postos parceiros Farmácia: descontos de até 40% em farmácias parceiras Benefícios: muito mais vantagens exclusivas da Localiza Zarp Maior variedade de carros que rodam também no Comfort e no Black. Mais estabilidade. Mais economia. Mais suporte para você lucrar com segurança. *Preços a partir do descrito no site. *Consulte nossas condições atuais.","Comprovante de residência | Cartão de crédito próprio ou de terceiros; | CNH com EAR | Termos e Condições | Condições especiais para motoristas Uber. Confira as promoções vigentes. Caução reduzida, consulte condições. Saiba mais no WhatsApp: 31 99930-3000",2026-09-22,"R$ 699,90 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\2q2g7bbxc98v588ancx341eybm.html,cache
3etm8sqh25d8zd907jsanrrmhm,https://earn.uber.com/offer/3etm8sqh25d8zd907jsanrrmhm,aluguel,São Paulo,458,URBAN LOCAÇÃO DE VEÍCULOS,Fiat Uno,UberX,"R$399,00",399.0,semanal,399.0,1729.0,,,,,True,True,False,False,False,Seguro do veículo | Manutenção | Uso ilimitado do veículo | Veículo de substituição | *Valores válidos para novos motoristas que retirarem o veículo até 20/04/2026,,Estacionamento protegido | Local de partida,2026-09-22,"R$ 399,00 por semana",aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\3etm8sqh25d8zd907jsanrrmhm.html,cache
3r0asvw0wndkdaqjaaq3szcgcr,https://earn.uber.com/offer/3r0asvw0wndkdaqjaaq3szcgcr,aluguel,São Paulo,458,Kovi Brazil,Fiat Argo ou similar,"Comfort, UberX",R$490.00,490.0,semanal,490.0,2123.3333333333335,1800.0,,,True,True,True,True,True,True,Seguro do veículo | Manutenção | 0km à pronta-entrega | Aceito na categoria Comfort | Sem limite de quilometragem | Sem necessidade de cartão de crédito | Aluguel para negativados | Parcelamento da caução em até 4x no pix | Garantia de carro reserva | Manutenção e IPVA por nossa conta | Plano anual com opção de compra,"""Alugue seu Fiat Argo 0km (aceito no Comfort) pagando apenas R$ 590 na primeira semana! Ganhe até R$ 1.800 de desconto total nas semanas seguintes ao completar a meta de viagens semanais na Uber.* Caução de R$1.800 à vista ou parcelado: 10x no cartão ou 4x no PIX Além disso, só na Kovi você: não precisa de cartão de crédito não paga taxa extra por km rodado tem a opção de compra do seu carro com até 10% abaixo do valor de mercado. São poucas unidades, corra para garantir o seu! *Consulte a disponibilidade na sua região e as condições com o time de Vendas da Kovi. Saiba mais em: https://bit.ly/3YWfmdd """,Comprovante de residência | Permanencia mínima de 12 meses,2026-09-22,R$490.00 por semana,aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\3r0asvw0wndkdaqjaaq3szcgcr.html,cache
4x69arxad9b9924zanrb709a74,https://earn.uber.com/offer/4x69arxad9b9924zanrb709a74,aluguel,São Paulo,458,Kovi Brazil,Volkswagen Polo ou similar,"Comfort, Uber Reserve Test Drive, UberX",R$250.00,250.0,semanal,250.0,1083.3333333333333,1800.0,,,True,True,True,True,True,True,Seguro do veículo | Manutenção | Seminovo à pronta-entrega | Aceito na categoria Comfort | Sem limite de quilometragem | Sem necessidade de cartão de crédito | Aluguel para negativados | Parcelamento da caução em até 16x no pix | Garantia de carro reserva | Manutenção e IPVA por nossa conta | Plano anual com opção de compra,"""Alugue seu Polo Track (aceito no Comfort) pagando apenas R$ 250 na primeira semana! Ganhe até R$ 1.800 de desconto total nas semanas seguintes ao completar a meta de viagens semanais na Uber.* Caução de R$1.800 à vista ou parcelado: 10x no cartão ou 4x no PIX Além disso, só na Kovi você: aluga seminovos à pronta-entrega; não precisa de cartão de crédito; não paga taxa extra por km rodado; tem a opção de compra do seu carro com até 10% abaixo do valor de mercado. São poucas unidades, corra para garantir o seu! *Consulte a disponibilidade na sua região e as condições com o time de Vendas da Kovi. Saiba mais em: https://bit.ly/3YWfmdd """,Comprovante de residência,2026-09-22,R$250.00 por semana,aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\4x69arxad9b9924zanrb709a74.html,cache
5c3yvh8nzsbd35ytfn1fzeb49w,https://earn.uber.com/offer/5c3yvh8nzsbd35ytfn1fzeb49w,aluguel,São Paulo,458,Moover,Fiat Argo ou similar,"Comfort, UberX",R$674.33,674.33,semanal,674.33,2922.096666666667,,,,,True,True,False,False,False,"Manutenção | Proteção Básica para Roubo, Furto, PT e Acidentes.","Ei, motorista! A Moover tem várias vantagens para você: Atendimento dedicado à motoristas de aplicativos; Tenha sempre um carro disponível; Cuidamos de todas as suas manutenções; Planos de até 6.000km/mês; É tudo com a gente! Aproveite a parte boa de ter um carro para trabalhar; É muito mais ganho para você. É alugar, economizar e faturaaaaar",Comprovante de residência | Conta motorista parceiro Uber ativa | Bloqueio do depósito de segurança por meio de Cartão de Crédito próprio ou de terceiro. | Cliente pode obter mais informações diretamente pela Central de reservas da Movida pelo 0800 718 0080 ou pelo site | https://motoristadeapp.movida.com.br/regulamento | Local de partida | Termos e Condições | Alguma dúvida? | Ligue para 0800 771 3077 | As informações fornecidas pela Moover para este anúncio são meramente informativas e podem não se aplicar a sua região ou cidade e estão sujeitas a mudanças e podem ser alteradas sem aviso prévio. | Verifique detalhes do seguro e das coberturas junto à Moover.,2026-09-22,R$674.33 por semana,aluguel,https://earn.uber.com/pt-BR/city/sao-paulo-BR/458/rentals_category?utm_source=chatgpt.com,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\setembro\Aluguel de veículos nesta cidade_ Sao Paulo _ Ganhe com a plataforma da Uber.html,C:\Users\Isaias filho\Documents\PI06-Visualizacao_de_dados\UBER_MATCH\2026-09-22\detalhes\5c3yvh8nzsbd35ytfn1fzeb49w.html,cache
